node_id	category
1	1
2	1
3	1
4	2
5	1
6	3
7	1
8	1
9	1
10	4
11	2
12	2
13	1
14	5
15	4
16	6
17	7
18	3
19	8
20	9
21	3
22	10
23	11
24	3
25	9
26	12
27	13
28	13
29	12
30	14
31	8
32	9
33	4
34	9
35	10
36	3
37	15
38	16
39	15
40	12
41	10
42	12
43	17
44	15
45	4
46	10
47	9
48	15
49	15
50	8
51	15
52	18
53	13
54	9
55	4
56	19
57	20
58	21
59	20
60	8
61	8
62	4
63	8
64	8
65	8
66	22
67	17
68	17
69	17
70	17
71	2
72	5
73	5
74	23
75	5
76	24
77	8
78	8
79	17
80	25
81	3
82	3
83	3
84	26
85	26
86	26
87	26
88	26
89	26
90	4
91	15
92	15
93	10
94	24
95	4
96	15
97	15
98	9
99	15
100	8
101	8
102	2
103	8
104	3
105	9
106	8
107	15
108	9
109	10
110	10
111	15
112	2
113	5
114	4
115	5
116	9
117	17
118	1
119	8
120	9
121	13
122	9
123	27
124	22
125	16
126	7
127	10
128	17
129	17
130	10
131	10
132	3
133	28
134	29
135	18
136	3
137	4
138	10
139	30
140	30
141	30
142	4
143	8
144	10
145	10
146	9
147	10
148	4
149	9
150	10
151	15
152	9
153	8
154	8
155	5
156	26
157	31
158	9
159	6
160	21
161	21
162	10
163	16
164	32
165	9
166	9
167	9
168	9
169	31
170	3
171	26
172	26
173	3
174	26
175	3
176	26
177	3
178	22
179	26
180	17
181	5
182	5
183	17
184	17
185	5
186	13
187	13
188	13
189	13
190	13
191	13
192	30
193	10
194	13
195	13
196	13
197	13
198	30
199	13
200	13
201	13
202	13
203	13
204	13
205	8
206	33
207	33
208	25
209	25
210	29
211	29
212	29
213	29
214	29
215	29
216	32
217	32
218	32
219	10
220	2
221	3
222	2
223	10
224	2
225	10
226	23
227	3
228	3
229	13
230	13
231	10
232	3
233	22
234	17
235	2
236	8
237	8
238	2
239	10
240	34
241	2
242	15
243	2
244	2
245	34
246	8
247	35
248	16
249	8
250	16
251	17
252	17
253	16
254	10
255	17
256	9
257	36
258	17
259	37
260	18
261	10
262	6
263	18
264	18
265	10
266	21
267	22
268	21
269	8
270	14
271	8
272	15
273	21
274	12
275	20
276	8
277	8
278	9
279	22
280	9
281	8
282	17
283	10
284	10
285	15
286	22
287	12
288	17
289	10
290	17
291	10
292	10
293	22
294	17
295	27
296	27
297	27
298	27
299	27
300	38
301	29
302	33
303	26
304	39
305	15
306	40
307	13
308	30
309	41
310	26
311	9
312	39
313	26
314	13
315	41
316	26
317	41
318	35
319	22
320	22
321	22
322	22
323	22
324	24
325	10
326	10
327	10
328	42
329	3
330	10
331	3
332	10
333	42
334	42
335	42
336	42
337	29
338	29
339	9
340	8
341	8
342	20
343	10
344	20
345	8
346	9
347	39
348	43
349	41
350	2
351	15
352	6
353	44
354	2
355	20
356	4
357	15
358	29
359	3
360	3
361	29
362	33
363	22
364	17
365	17
366	17
367	44
368	17
369	31
370	31
371	22
372	33
373	43
374	12
375	4
376	10
377	18
378	17
379	29
380	17
381	4
382	2
383	15
384	10
385	10
386	9
387	42
388	9
389	7
390	9
391	10
392	10
393	10
394	10
395	10
396	20
397	10
398	8
399	8
400	8
401	10
402	25
403	6
404	21
405	3
406	3
407	4
408	43
409	30
410	8
411	9
412	20
413	8
414	8
415	2
416	20
417	8
418	10
419	10
420	2
421	14
422	8
423	45
424	10
425	14
426	15
427	15
428	4
429	2
430	17
431	15
432	12
433	12
434	10
435	8
436	15
437	17
438	15
439	2
440	2
441	34
442	27
443	27
444	8
445	10
446	10
447	20
448	8
449	10
450	8
451	20
452	16
453	32
454	6
455	6
456	4
457	4
458	5
459	5
460	42
461	5
462	33
463	42
464	33
465	16
466	42
467	10
468	15
469	3
470	8
471	3
472	22
473	22
474	22
475	1
476	1
477	24
478	17
479	44
480	5
481	46
482	17
483	3
484	17
485	33
486	5
487	2
488	5
489	20
490	20
491	26
492	37
493	30
494	15
495	9
496	29
497	10
498	10
499	4
500	4
501	10
502	10
503	3
504	4
505	4
506	6
507	12
508	10
509	3
510	27
511	8
512	21
513	2
514	26
515	8
516	10
517	39
518	10
519	3
520	21
521	14
522	18
523	8
524	43
525	22
526	10
527	10
528	8
529	10
530	10
531	10
532	3
533	4
534	27
535	27
536	4
537	2
538	30
539	10
540	1
541	31
542	31
543	23
544	31
545	44
546	1
547	3
548	31
549	17
550	30
551	30
552	5
553	31
554	1
555	8
556	8
557	8
558	12
559	10
560	18
561	15
562	20
563	14
564	8
565	11
566	10
567	12
568	9
569	9
570	32
571	9
572	13
573	15
574	8
575	10
576	22
577	10
578	2
579	2
580	10
581	15
582	12
583	8
584	15
585	10
586	12
587	12
588	8
589	2
590	2
591	9
592	16
593	47
594	47
595	17
596	3
597	3
598	10
599	8
600	3
601	39
